87658, AIX EN PROVENCE, 0133000R - AIX VALLEE DE L'ARC, CIRCONSCRIPTION 1ER DEGRE IEN AIX VALLEE DE L'ARC (0133000R), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
84582, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE GEORGES DEZARNAUD (0130381U), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
84583, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE GEORGES DEZARNAUD (0130381U), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
84583, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE GEORGES DEZARNAUD (0130381U), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
84584, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE GEORGES DEZARNAUD (0130381U), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84584, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE GEORGES DEZARNAUD (0130381U), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84577, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE IRENE JOLIOT CURIE (0130379S), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
84578, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE IRENE JOLIOT CURIE (0130379S), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
86996, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PABLO PICASSO (0132382U), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
86997, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PABLO PICASSO (0132382U), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
86998, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PABLO PICASSO (0132382U), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84579, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PAUL LANGEVIN (0130380T), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
84580, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PAUL LANGEVIN (0130380T), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
84581, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE MATERNELLE PUBLIQUE PAUL LANGEVIN (0130380T), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84568, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), DE - Directeur d'école, D0000 - Direction, 17, 1, Non, 1, 0, 0
84569, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 9, 0, 2
84570, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 1
84571, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
84572, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
84573, BERRE L ETANG, 0132952N - MIRAMAS, ECOLE PRIMAIRE PUBLIQUE EMILE ZOLA (0130374L), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
86601, BERRE L ETANG, 0134012R - ASH-OUEST, SEGPA CLG FERNAND LEGER (0131845K), ISES - Enseignant 1er degré de segpa, G0170 - Enseigner en segpa ou en erea, 0, 0, Non, 3, 0, 0
87695, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE BERGERIE (LA) (0133040J), DE - Directeur d'école, D0000 - Direction, 7, 0, Non, 1, 0, 0
87696, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE BERGERIE (LA) (0133040J), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
84585, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE CENTRE (0130382V), DE - Directeur d'école, D0000 - Direction, 10, 0, Non, 1, 0, 1
84586, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE CENTRE (0130382V), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 8, 0, 1
84587, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE CENTRE (0130382V), ECEL - Enseignant classe élémentaire, G0421 - Allemand, 0, 0, Non, 1, 0, 0
84588, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE CENTRE (0130382V), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86678, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE SALLE (LA) (0131998B), DE - Directeur d'école, D0000 - Direction, 11, 0, Non, 1, 0, 0
86679, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE SALLE (LA) (0131998B), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 10, 0, 0
86680, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE SALLE (LA) (0131998B), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84589, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE VIRGINIE DEDIEU (0130383W), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
84590, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE VIRGINIE DEDIEU (0130383W), EAPL - Enseignant classe application élémentaire, G0191 - Classe d'application, 0, 0, Non, 2, 0, 0
84591, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE VIRGINIE DEDIEU (0130383W), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
84592, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE VIRGINIE DEDIEU (0130383W), ECEL - Enseignant classe élémentaire, G0422 - Anglais, 0, 0, Non, 2, 0, 2
84593, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE VIRGINIE DEDIEU (0130383W), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87474, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE BERGERIE (LA) (0132719K), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
87475, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE BERGERIE (LA) (0132719K), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
86914, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE CENTRE LES PINS (0132308N), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
86915, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE CENTRE LES PINS (0132308N), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
86916, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE CENTRE LES PINS (0132308N), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87263, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE SALLE (LA) (0132555G), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
87264, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE SALLE (LA) (0132555G), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
87685, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE VIRGINIE DEDIEU (0133034C), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
87686, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE VIRGINIE DEDIEU (0133034C), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 1
87687, BOUC BEL AIR, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE VIRGINIE DEDIEU (0133034C), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84598, BOULBON, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE SAULES (DES) (0130388B), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
84599, BOULBON, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE SAULES (DES) (0130388B), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
87924, BOULBON, 0133001S - SAINT REMY, ECOLE MATERNELLE PUBLIQUE LES TILLEULS (0133432K), DE - Directeur d'école, D0000 - Direction, 3, 0, Non, 1, 0, 0
87925, BOULBON, 0133001S - SAINT REMY, ECOLE MATERNELLE PUBLIQUE LES TILLEULS (0133432K), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 1
87926, BOULBON, 0133001S - SAINT REMY, ECOLE MATERNELLE PUBLIQUE LES TILLEULS (0133432K), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84600, CABANNES, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE CABANNES (0130390D), DE - Directeur d'école, D0000 - Direction, 11, 2, Non, 1, 0, 0
84601, CABANNES, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE CABANNES (0130390D), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 8, 0, 0
84602, CABANNES, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE CABANNES (0130390D), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
84603, CABANNES, 0133001S - SAINT REMY, ECOLE ELEMENTAIRE PUBLIQUE CABANNES (0130390D), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 1
86686, CABANNES, 0133001S - SAINT REMY, ECOLE MATERNELLE PUBLIQUE CABANNES (0132003G), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
86687, CABANNES, 0133001S - SAINT REMY, ECOLE MATERNELLE PUBLIQUE CABANNES (0132003G), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
88004, CABANNES, 0134012R - ASH-OUEST, S EDUC SPECIALE SOINS DOMICILE LE VERDIER (0133921S), UEE - Unité d'enseignement élémentaire, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 2, 0, 2
84604, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BENOIT (0130392F), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
84605, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BENOIT (0130392F), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 6, 0, 0
84606, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE BENOIT (0130392F), ECEL - Enseignant classe élémentaire, G0422 - Anglais, 0, 0, Non, 1, 0, 0
84607, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE LA TREBILLANE-RENE CASSIN (0130394H), DE - Directeur d'école, D0000 - Direction, 9, 0, Non, 1, 0, 0
84608, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE LA TREBILLANE-RENE CASSIN (0130394H), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 8, 0, 0
87190, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE ZAC DU PETIT LAC (0132511J), DE - Directeur d'école, D0000 - Direction, 9, 0, Non, 1, 0, 0
87191, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE ZAC DU PETIT LAC (0132511J), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 8, 0, 1
87192, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE ZAC DU PETIT LAC (0132511J), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
87193, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE ZAC DU PETIT LAC (0132511J), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87194, CABRIES, 0133338H - GARDANNE, ECOLE ELEMENTAIRE PUBLIQUE ZAC DU PETIT LAC (0132511J), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87569, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE CENTRE (0132795T), DE - Directeur d'école, D0000 - Direction, 4, 0, Non, 1, 0, 0
87570, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE CENTRE (0132795T), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
87098, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE LA TREBILLANE RENE CASSIN (0132450T), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
87099, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE LA TREBILLANE RENE CASSIN (0132450T), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
87187, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE PETIT LAC (0132510H), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
87188, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE PETIT LAC (0132510H), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
87189, CABRIES, 0133338H - GARDANNE, ECOLE MATERNELLE PUBLIQUE PETIT LAC (0132510H), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
84609, CADOLIVE, 0133959H - TRETS, ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN (0130396K), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
84610, CADOLIVE, 0133959H - TRETS, ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN (0130396K), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 0
87844, CADOLIVE, 0133959H - TRETS, ECOLE MATERNELLE PUBLIQUE JEAN MOULIN (0133237Y), DE - Directeur d'école, D0000 - Direction, 3, 0, Non, 1, 0, 0
110731, CADOLIVE, 0133959H - TRETS, ECOLE MATERNELLE PUBLIQUE JEAN MOULIN (0133237Y), ECMA - Enseignant classe préélémentaire, G0120 - Classe de lecture, 0, 0, Non, 1, 0, 1
85978, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL (0131089N), DE - Directeur d'école, D0000 - Direction, 16, 1, Non, 1, 0, 0
85979, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL (0131089N), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 13, 0, 0
85980, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL (0131089N), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
85981, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL (0131089N), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
86604, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE FREDERIC MISTRAL (0131853U), DE - Directeur d'école, D0000 - Direction, 7, 0, Non, 1, 0, 0
86605, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE FREDERIC MISTRAL (0131853U), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 1
86606, CARNOUX EN PROVENCE, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE FREDERIC MISTRAL (0131853U), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84611, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE SIMONE THOULOUZE (0130399N), DE - Directeur d'école, D0000 - Direction, 12, 0, Non, 1, 0, 0
84612, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE SIMONE THOULOUZE (0130399N), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 11, 0, 0
84613, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE SIMONE THOULOUZE (0130399N), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 1
87100, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE MATERNELLE PUBLIQUE SIMONE THOULOUZE (0132452V), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
87101, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE MATERNELLE PUBLIQUE SIMONE THOULOUZE (0132452V), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 0
87102, CARRY LE ROUET, 0132426S - CHATEAUNEUF, ECOLE MATERNELLE PUBLIQUE SIMONE THOULOUZE (0132452V), TS - Titulaire de secteur, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86925, CASSIS, 0131850R - ASH-EST, COLLEGE LES GORGUETTES GILBERT RASTOIN (0132324F), REF - Enseignant 1e degré référent, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84614, CASSIS, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE LERICHE MISTRAL (0130401R), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
84615, CASSIS, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE LERICHE MISTRAL (0130401R), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
84616, CASSIS, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE LERICHE MISTRAL (0130401R), ECEL - Enseignant classe élémentaire, G0422 - Anglais, 0, 0, Non, 3, 0, 0
84617, CASSIS, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE LERICHE MISTRAL (0130401R), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84618, CASSIS, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE CAP CANAILLE (0130402S), DE - Directeur d'école, D0000 - Direction, 5, 0, Non, 1, 0, 0
84619, CASSIS, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE CAP CANAILLE (0130402S), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
110649, CASSIS, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE CAP CANAILLE (0130402S), ECMA - Enseignant classe préélémentaire, G0120 - Classe de lecture, 0, 0, Non, 1, 0, 1
84620, CEYRESTE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE ALBERT BLANC (0130403T), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 0
84621, CEYRESTE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE ALBERT BLANC (0130403T), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
84622, CEYRESTE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE ALBERT BLANC (0130403T), ECEL - Enseignant classe élémentaire, G0421 - Allemand, 0, 0, Non, 1, 0, 1
84623, CEYRESTE, 0131852T - LA CIOTAT, ECOLE ELEMENTAIRE PUBLIQUE ALBERT BLANC (0130403T), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
86994, CEYRESTE, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE MUSCATELLE (LA) (0132381T), DE - Directeur d'école, D0000 - Direction, 3, 0, Non, 1, 0, 0
86995, CEYRESTE, 0131852T - LA CIOTAT, ECOLE MATERNELLE PUBLIQUE MUSCATELLE (LA) (0132381T), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
88082, CEYRESTE, 0131852T - LA CIOTAT, ECOLE PRIMAIRE PUBLIQUE JEAN D'ORMESSON (0134229B), DE - Directeur d'école, D0000 - Direction, 7, 0, Non, 1, 0, 0
88083, CEYRESTE, 0131852T - LA CIOTAT, ECOLE PRIMAIRE PUBLIQUE JEAN D'ORMESSON (0134229B), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
88084, CEYRESTE, 0131852T - LA CIOTAT, ECOLE PRIMAIRE PUBLIQUE JEAN D'ORMESSON (0134229B), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 3, 0, 0
84624, CHARLEVAL, 0133644R - PEYROLLES, ECOLE PRIMAIRE PUBLIQUE CHANTE PIE (0130405V), DE - Directeur d'école, D0000 - Direction, 10, 0, Non, 1, 0, 0
84625, CHARLEVAL, 0133644R - PEYROLLES, ECOLE PRIMAIRE PUBLIQUE CHANTE PIE (0130405V), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 5, 0, 0
84626, CHARLEVAL, 0133644R - PEYROLLES, ECOLE PRIMAIRE PUBLIQUE CHANTE PIE (0130405V), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 2
84627, CHARLEVAL, 0133644R - PEYROLLES, ECOLE PRIMAIRE PUBLIQUE CHANTE PIE (0130405V), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
84628, CHATEAUNEUF LE ROUGE, 0133959H - TRETS, ECOLE ELEMENTAIRE PUBLIQUE SAINTE VICTOIRE (0130408Y), DE - Directeur d'école, D0000 - Direction, 6, 0, Non, 1, 0, 1
84629, CHATEAUNEUF LE ROUGE, 0133959H - TRETS, ECOLE ELEMENTAIRE PUBLIQUE SAINTE VICTOIRE (0130408Y), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 4, 0, 0
84630, CHATEAUNEUF LE ROUGE, 0133959H - TRETS, ECOLE ELEMENTAIRE PUBLIQUE SAINTE VICTOIRE (0130408Y), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
87688, CHATEAUNEUF LE ROUGE, 0133959H - TRETS, ECOLE MATERNELLE PUBLIQUE SAINTE-VICTOIRE (0133035D), DE - Directeur d'école, D0000 - Direction, 3, 0, Non, 1, 0, 0
87689, CHATEAUNEUF LE ROUGE, 0133959H - TRETS, ECOLE MATERNELLE PUBLIQUE SAINTE-VICTOIRE (0133035D), ECMA - Enseignant classe préélémentaire, G0000 - Sans spécialité, 0, 0, Non, 2, 0, 0
84631, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES (0130409Z), DE - Directeur d'école, D0000 - Direction, 16, 1, Non, 1, 0, 0
84632, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES (0130409Z), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 13, 0, 1
84633, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES (0130409Z), RASE - Réseau d'aide à dominante, G0173 - Rased aide à dominante pédagogique, 0, 0, Non, 1, 0, 0
84634, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES (0130409Z), ULEC - Ulis école, G0176 - Ulis ue troubles fonctions cognitives, 0, 0, Non, 1, 0, 0
88045, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE MIREILLE FERAUD FOESSER (0134043Z), DE - Directeur d'école, D0000 - Direction, 14, 0, Non, 1, 0, 0
88046, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE MIREILLE FERAUD FOESSER (0134043Z), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 13, 0, 1
84635, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE RENE PERRIN (0130410A), DE - Directeur d'école, D0000 - Direction, 8, 0, Non, 1, 0, 0
84636, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE RENE PERRIN (0130410A), ECEL - Enseignant classe élémentaire, G0000 - Sans spécialité, 0, 0, Non, 7, 0, 0
84637, CHATEAUNEUF LES MARTIGUES, 0132426S - CHATEAUNEUF, ECOLE ELEMENTAIRE PUBLIQUE RENE PERRIN (0130410A), TR - Titulaire remplaçant, G0000 - Sans spécialité, 0, 0, Non, 1, 0, 0
